manufacturer,nombreproducto,price,img_src,url
GENEVE,RING ETERNITY,"1.625,00 €",https://www.genevecompany.com/34826-large_default/geneve-jewels-ring-eternity-gg21790.jpg ,https://www.genevecompany.com/en/ring/199044-geneve-jewels-ring-eternity-gg21790.html
GENEVE,RING,"980,00 €",https://www.genevecompany.com/36260-large_default/geneve-jewels-ring-gg22460.jpg ,https://www.genevecompany.com/en/ring/201493-geneve-jewels-ring-gg22460.html
GENEVE,RING ETERNITY,"1.555,00 €",https://www.genevecompany.com/34106-large_default/geneve-jewels-ring-eternity-gg22257.jpg ,https://www.genevecompany.com/en/ring/200000-geneve-jewels-ring-eternity-gg22257.html
GENEVE,RING SOLITAIRE,"1.605,00 €",https://www.genevecompany.com/36635-large_default/geneve-jewels-ring-solitaire-mv1257.jpg ,https://www.genevecompany.com/en/ring/197515-geneve-jewels-ring-solitaire-mv1257.html
GENEVE,RING HALO,"1.630,00 €",https://www.genevecompany.com/36820-large_default/geneve-jewels-ring-halo-gg20376.jpg ,https://www.genevecompany.com/en/ring/194602-geneve-jewels-ring-halo-gg20376.html
GENEVE,RING CLUSTER,"1.645,00 €",https://www.genevecompany.com/31067-large_default/geneve-jewels-ring-cluster-gg21935.jpg ,https://www.genevecompany.com/en/ring/199278-geneve-jewels-ring-cluster-gg21935.html
GENEVE,RING ETERNITY,"1.650,00 €",https://www.genevecompany.com/32695-large_default/geneve-jewels-ring-eternity-gg22191.jpg ,https://www.genevecompany.com/en/ring/199792-geneve-jewels-ring-eternity-gg22191.html
GENEVE,RING HALO,"1.635,00 €",https://www.genevecompany.com/34139-large_default/geneve-jewels-ring-halo-gg22176.jpg ,https://www.genevecompany.com/en/ring/199881-geneve-jewels-ring-halo-gg22176.html
GENEVE,RING 3 STONE,"1.660,00 €",https://www.genevecompany.com/32218-large_default/geneve-jewels-ring-3-stone-mv1265.jpg ,https://www.genevecompany.com/en/ring/199003-geneve-jewels-ring-3-stone-mv1265.html
GENEVE,RING,"1.720,00 €",https://www.genevecompany.com/34871-large_default/geneve-jewels-ring-gg22376.jpg ,https://www.genevecompany.com/en/ring/200825-geneve-jewels-ring-gg22376.html
GENEVE,RING SOLITAIRE,"1.740,00 €",https://www.genevecompany.com/36751-large_default/geneve-jewels-ring-solitaire-gg22522.jpg ,https://www.genevecompany.com/en/ring/201625-geneve-jewels-ring-solitaire-gg22522.html
GENEVE,RING CLUSTER,"1.770,00 €",https://www.genevecompany.com/34133-large_default/geneve-jewels-ring-cluster-gg22177.jpg ,https://www.genevecompany.com/en/ring/199882-geneve-jewels-ring-cluster-gg22177.html
GENEVE,RING ETERNITY,"1.780,00 €",https://www.genevecompany.com/32653-large_default/geneve-jewels-ring-eternity-gg22026.jpg ,https://www.genevecompany.com/en/ring/199496-geneve-jewels-ring-eternity-gg22026.html
GENEVE,RING ETERNITY,"1.785,00 €",https://www.genevecompany.com/32631-large_default/geneve-jewels-ring-eternity-gg22019.jpg ,https://www.genevecompany.com/en/ring/199486-geneve-jewels-ring-eternity-gg22019.html
GENEVE,RING HALO,"1.800,00 €",https://www.genevecompany.com/36405-large_default/geneve-jewels-ring-halo-gg22683.jpg ,https://www.genevecompany.com/en/ring/202808-geneve-jewels-ring-halo-gg22683.html
